Nombre,Descripcion
Antropocéntrico,"El ser humano como centro y medida rectora del hecho proyectual."
Antropométrico,"Dimensionamiento derivado estrictamente de la escala física del cuerpo."
Recorrido exterior,"Circuito perimetral que bordea y cualifica la aproximación al volumen."
Transición,"Umbral o espacio intermedio que media entre dos condiciones cualitativas."
Monolítico,"Masa pétrea y continua sin fisuras aparentes, peso visual dominante."
Colosal,"Magnitud dimensional que trasciende la escala doméstica hacia lo monumental."
Orden,"Estructura lógica que gobierna la disposición armónica de las partes."
Verticalidad,"Tensión ascendente y predominio dimensional de la altura sobre la base."
Elevación,"Separación del plano de suelo mediante pilotis, podio o levitación formal."
Desfragmentación,"Disociación y ruptura de la masa compacta en bloques articulados."
Iluminación,"Captación deliberada de luz solar a través de vanos o fisuras volumétricas."
Recorrido axial,"Eje lineal director que organiza la procesión espacial del usuario."
Espacio interior,"Cavidad habitable contenida dentro de la envolvente edificada."
Espacio exterior,"Ámbito abierto que circunda el objeto arquitectónico y recibe su influjo."
Perforación,"Horadación o sustracción de materia que atraviesa total o parcialmente el prisma."
Alineación,"Puesta en línea recta o coincidencia de aristas y planos límites."
Hito,"Elemento focal sobresaliente que sirve como referencia visual en el entorno."
Centro,"Núcleo organizador hacia el cual gravitan las partes del proyecto."
Retícula,"Malla ortogonal modulada que disciplina la geometría y la estructura."
Conectividad,"Capacidad de articulación y paso continuo entre diferentes zonas espaciales."
Recorrido,"Experiencia cinética y temporal del desplazamiento a través de la arquitectura."
Expansión,"Apertura y prolongación de los límites hacia el horizonte o paisaje."
